data,value
26,3908
27,2101
28,2132
29,4027
30,4538
31,6961
32,7445
33,7985
34,9132
35,11455
36,13767
37,16346
38,19087
39,21095
40,24303
41,25241
42,29192
43,31623
44,33372
45,32576
46,32858
47,32182
48,31440
49,33749
50,30615
51,27498
52,25253
53,23688
54,17963
55,16472
56,16211
57,13463
58,9393
59,9377
60,8548
61,5415
62,5036
63,3338
64,2269
65,5455
66,54
67,159
68,53
70,15
73,34
